epoch,test_accuracy,val_loss,train_loss
-1,0.51171875,,
0,0.51171875,,
1,0.51171875,,
2,0.51171875,,
3,0.51171875,,
4,0.51171875,,
5,0.51171875,,
6,0.51171875,,
7,0.51171875,,
8,0.52734375,,
9,0.63671875,,
10,0.73046875,,
11,0.78125,,
12,0.8359375,,
13,0.8984375,,
14,0.921875,,
15,0.9296875,,
16,0.94921875,,
17,0.95703125,,
18,0.96484375,,
19,0.96875,,
20,0.97265625,,
